ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Cytoplasm_Count,Intensity_IntegratedIntensityEdge_CropBlue,Intensity_IntegratedIntensity_CropBlue,Intensity_LowerQuartileIntensity_CropBlue,Intensity_MADIntensity_CropBlue,Intensity_MassDisplacement_CropBlue,Intensity_MaxIntensityEdge_CropBlue,Intensity_MaxIntensity_CropBlue,Intensity_MeanIntensityEdge_CropBlue,Intensity_MeanIntensity_CropBlue,Intensity_MedianIntensity_CropBlue,Intensity_MinIntensityEdge_CropBlue,Intensity_MinIntensity_CropBlue,Intensity_StdIntensityEdge_CropBlue,Intensity_StdIntensity_CropBlue,Intensity_UpperQuartileIntensity_CropBlue,Location_CenterMassIntensity_X_CropBlue,Location_CenterMassIntensity_Y_CropBlue,Location_CenterMassIntensity_Z_CropBlue,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CropBlue,Location_MaxIntensity_Y_CropBlue,Location_MaxIntensity_Z_CropBlue,Number_Object_Number,Parent_Nuclei,Texture_AngularSecondMoment_CropBlue_3_00,Texture_AngularSecondMoment_CropBlue_3_01,Texture_AngularSecondMoment_CropBlue_3_02,Texture_AngularSecondMoment_CropBlue_3_03,Texture_Contrast_CropBlue_3_00,Texture_Contrast_CropBlue_3_01,Texture_Contrast_CropBlue_3_02,Texture_Contrast_CropBlue_3_03,Texture_Correlation_CropBlue_3_00,Texture_Correlation_CropBlue_3_01,Texture_Correlation_CropBlue_3_02,Texture_Correlation_CropBlue_3_03,Texture_DifferenceEntropy_CropBlue_3_00,Texture_DifferenceEntropy_CropBlue_3_01,Texture_DifferenceEntropy_CropBlue_3_02,Texture_DifferenceEntropy_CropBlue_3_03,Texture_DifferenceVariance_CropBlue_3_00,Texture_DifferenceVariance_CropBlue_3_01,Texture_DifferenceVariance_CropBlue_3_02,Texture_DifferenceVariance_CropBlue_3_03,Texture_Entropy_CropBlue_3_00,Texture_Entropy_CropBlue_3_01,Texture_Entropy_CropBlue_3_02,Texture_Entropy_CropBlue_3_03,Texture_InfoMeas1_CropBlue_3_00,Texture_InfoMeas1_CropBlue_3_01,Texture_InfoMeas1_CropBlue_3_02,Texture_InfoMeas1_CropBlue_3_03,Texture_InfoMeas2_CropBlue_3_00,Texture_InfoMeas2_CropBlue_3_01,Texture_InfoMeas2_CropBlue_3_02,Texture_InfoMeas2_CropBlue_3_03,Texture_InverseDifferenceMoment_CropBlue_3_00,Texture_InverseDifferenceMoment_CropBlue_3_01,Texture_InverseDifferenceMoment_CropBlue_3_02,Texture_InverseDifferenceMoment_CropBlue_3_03,Texture_SumAverage_CropBlue_3_00,Texture_SumAverage_CropBlue_3_01,Texture_SumAverage_CropBlue_3_02,Texture_SumAverage_CropBlue_3_03,Texture_SumEntropy_CropBlue_3_00,Texture_SumEntropy_CropBlue_3_01,Texture_SumEntropy_CropBlue_3_02,Texture_SumEntropy_CropBlue_3_03,Texture_SumVariance_CropBlue_3_00,Texture_SumVariance_CropBlue_3_01,Texture_SumVariance_CropBlue_3_02,Texture_SumVariance_CropBlue_3_03,Texture_Variance_CropBlue_3_00,Texture_Variance_CropBlue_3_01,Texture_Variance_CropBlue_3_02,Texture_Variance_CropBlue_3_03
1,1,360,133.0,28.0,1.0,1.1122851345902216,0.75607585172267444,1.0,0.78431372549019607,0.80562206100034517,26.761739483855465,26.076809620810597,8.0622577482985491,3.5819796225140785,3.0,16.0,17.51513030815099,-5.8935759464489452,74.936000000000021,0.94488188976377985,0.67406799427155661,0.096160124860635091,0.14124588167546465,0.089937490658846223,0.02921381502443484,0.019195953619522584,0.014957001238519372,0.014894324084465685,0.015722338308307115,0.02263848923269161,0.021256398151018249,0.019015543727730268,0.00013933513055256594,0.0054082564564447502,0.0044334104801978377,0.016958501742201669,0.014916720056972843,0.01333681837337451,0.011234619459574796,0.0080517790204551829,0.0066782884188587603,0.0017501208915710503,0.0063981316825916573,0.0042715256378185792,0.010310476905642707,0.008298568064733133,0.0030552823875488857,0.0026297393836022115,0.0043071301152487152,0.0025453151504685441,1,4.2941178120672703,52.639216933399439,0.094117648899555206,0.050980396568775177,0.51064603697488986,0.090196080505847931,0.27843138575553894,0.068160600191543977,0.14622004703722066,0.14117647707462311,0.050980392843484879,0.050980392843484879,0.0086548129949278272,0.05851828277689599,0.19607843458652496,134.90635476642015,27.835282730892754,0.0,135.29722222222222,28.163888888888888,0,133.0,28.0,0.0,1,1,0.0022988866894984345,0.0025295857988165689,0.0022732741479971124,0.0023425773962322382,122.07443365695796,384.40769230769234,242.38790035587189,229.63295880149812,0.71162555394669846,0.10791511139749363,0.42332381069330927,0.45475314531980843,4.4198119038820129,5.0157700219704111,4.8495071204629969,4.7891139891297545,0.00055201136584474657,0.00028499159909416323,0.00033847923595974337,0.00038709318564029657,8.8967884728531867,8.731945601473349,8.8657082597073078,8.8097596020995397,-0.42540860474737979,-0.45511455682943158,-0.43478475675615719,-0.44357139404157675,0.99590669764419637,0.997080814330221,0.99636356648078517,0.99669703759328632,0.11031248390495332,0.035243966508090016,0.069908467602565597,0.067437554151514159,79.349514563106808,82.65384615384616,81.669039145907476,82.344569288389522,6.3972248963578391,6.1386556641768735,6.3545232089600159,6.308452442022694,724.5639237125697,477.41094674556189,598.24989551803992,612.67527949613395,211.65958934238211,215.45465976331343,210.15944896847805,210.57705957440817
1,2,325,87.0,48.0,1.0,1.0884469725599919,0.715050836089553,1.0,0.70652173913043481,0.80224176931463009,24.64558015288058,24.698178070456937,8.0622577482985491,3.3504719059580204,3.0,17.705100627652307,17.229046301130783,-51.691986464711533,71.350000000000023,0.91937765205091937,0.67836533121135734,0.016380832278471476,0.17669321045695843,0.086499637355305733,0.0082638148467326436,0.016970996909225846,0.025508275384377659,0.0078410562788327979,0.04013195894469257,0.011629501612926273,0.0060204151787330434,0.010912958541867213,0.026332016206633575,0.020942834379051322,0.0068991842549376691,0.006550300695065802,0.0045898940437313941,0.0031808598032661154,0.0058547574568146923,0.0049275844682586858,0.0060797589493490007,0.0058152086665644387,0.0026043310905173307,0.018777695004156308,0.0026314077659192786,0.0067780234820419291,0.0053283082376593318,0.00075062445373576107,0.0042130722624983512,0.00073803208892824054,1,4.1098040528595448,53.058824975043535,0.10588235408067703,0.056862741708755493,0.52163692631323333,0.090196080505847931,0.3333333432674408,0.068496734214325741,0.16325792300013395,0.16274510324001312,0.047058824449777603,0.047058824449777603,0.012554465656156083,0.069743800547544352,0.21568627655506134,87.64456762964781,47.286474501995478,0.0,87.212307692307689,47.578461538461539,0,91.0,43.0,0.0,2,2,0.0022029099607866883,0.0025490878565139949,0.0022143111427554286,0.0023134377685240276,381.31906614785993,737.23529411764696,372.30943396226411,322.65040650406507,0.34855625922423122,-0.22115541093076874,0.36792450321423531,0.44708039769748992,5.1806962540844452,5.5719607058064939,5.1552991343195576,4.9943472901407224,0.00024136209869787001,0.00013786582168832544,0.00025009814509146491,0.00028328575441039384,8.8781736250609491,8.6668397200151261,8.8809621815178694,8.8093645561434535,-0.48752308084351315,-0.52215267023820255,-0.4890426562335517,-0.4937730455660207,0.99836450143498812,0.99890492346888227,0.99840558280505409,0.99844792541590111,0.060939826407824735,0.0742754720264691,0.05932194303197949,0.05948271067781799,91.08560311284046,92.212669683257928,90.490566037735846,90.951219512195138,6.4616140225860912,6.0523840960006563,6.4662657348110475,6.4731017147367425,789.37010401368934,470.20364038410116,805.74425062299724,844.42851477294971,292.67229254038739,301.85973362543746,294.51342114631461,291.7697303192549
1,3,288,25.0,46.0,1.0,1.6843130093244794,0.8991916985077727,1.0,0.34285714285714286,0.25746960723743961,32.232844367249896,32.557641192199412,6.7082039324993694,2.4740669785220124,2.0,13.89946480808594,14.103638950390419,-40.060105363892568,118.56000000000004,0.72727272727272729,0.34593678196578004,0.087953657473128846,0.099647198830394579,0.073970217361995688,0.044425534087047643,0.039181362850543133,0.04327904364625286,0.025511333495878495,0.019740609090489636,0.018748652127543113,0.017291009726541951,0.014743136559368217,0.020190744875773301,0.013940769943115425,0.0048995619921155019,0.0039514469662551505,0.009355497067079074,0.013182186144512843,0.010517803277413539,0.0040825934022840557,0.0045762935274180766,0.00730560620498312,0.0081363558503869358,0.0032732614832891808,0.006193931262655163,0.0056728062608815298,0.012074935677600965,0.0044001444229085787,0.002019146386268053,0.0061945698285972269,1,3.0235295281745493,25.027451738249511,0.023529412224888802,0.050980396568775177,1.9791204503504731,0.090196080505847931,0.24705882370471954,0.033225599210709333,0.086900874091144137,0.090196080505847931,0.0039215688593685627,0.0039215688593685627,0.02981107005074005,0.059875602694803721,0.13333334028720856,24.311031035128295,46.711845805698616,0.0,25.465277777777779,45.104166666666664,0,21.0,51.0,0.0,3,3,0.0049309664694280071,0.0057868137803325486,0.0040969878121054392,0.0035502958579881651,201.90769230769232,223.74534161490681,166.58375634517768,267.63589743589739,0.51276612730956528,0.48331938149984749,0.59754653968998961,0.31335000672187102,4.6389811196152468,4.7921337789203129,4.4748598882530253,4.8952022567578153,0.00049344977605193948,0.00045811333896743952,0.00062107427360599333,0.00040222689636752138,8.1777178136941373,7.9075550181225029,8.1727636214648669,8.26238332653684,-0.48670913999127929,-0.54615244380152439,-0.50108235745056562,-0.4867631891605072,0.99739970503443531,0.99868457340312866,0.99787998689088475,0.99753962437312049,0.11625755340047222,0.12972527352636409,0.14463690633171358,0.11416621596443588,55.056410256410253,52.925465838509311,54.411167512690355,54.948717948717956,6.0244663579422308,5.8631531772646639,6.106281219027375,6.0474110377610488,626.88399737015197,642.342270745728,661.25733721559391,511.90506245890811,207.19792241946084,216.52190309015862,206.96027339019315,194.88523997370157
1,4,618,13.0,64.0,1.0,1.7208377994113977,0.85500786349218905,1.0,0.43338008415147267,0.26373872088546296,46.194786448735286,52.478567053607705,10.770329614269007,3.5870377858683216,3.0,26.16295090390226,23.95731073919772,-23.247721248191482,171.5979999999999,0.67800329127811299,0.28571606341551581,0.069289007793650076,0.11163120316993588,0.055042696322255065,0.057380498157433124,0.012536577309818662,0.018886779680086271,0.041566802100213511,0.018295031479199302,0.018048265292315024,0.014496847272476011,0.0051615642980847969,0.010576623778148464,0.011109318474104948,0.0081284402055252364,0.012454437322698618,0.0064293050343439571,0.012065458660423972,0.0064201258826166582,0.0050342869692428238,0.016410311617908433,0.0060283901666106305,0.0094033028329877297,0.0093921521065172611,0.0079139926645257781,0.0022559062568819925,0.0086474948574785954,0.010657777591208579,0.0080054587567321093,0.00372260089292892,1,2.9960785210132599,57.53725633258,0.011764706112444401,0.050980391912162304,3.7451283998316782,0.12156862765550613,0.3490196168422699,0.024760979512506279,0.093102356525210359,0.058823529630899429,0.0039215688593685627,0.0039215688593685627,0.026934668668019277,0.085964257200441943,0.18039216101169586,13.938181587068341,65.094874576771602,0.0,16.163430420711975,62.082524271844662,0,19.0,61.0,0.0,4,4,0.010709485485748002,0.0024838445489924138,0.006417100694444444,0.014664864585664846,261.44129554655871,450.6821515892421,244.67500000000001,406.78423236514521,0.7367253663903357,0.52681622315610188,0.75409649855236871,0.60074707218994938,4.7275864076076566,5.3545792191427637,4.7625388073286254,5.1000666821446234,0.00055249083873275945,0.00020380359476451272,0.00045543981481481482,0.00036608941833255008,8.6471140742985781,9.0996639939685071,8.7381068091233267,8.5921427937648698,-0.46089063833766886,-0.43850326102453985,-0.45394119504872349,-0.450697756595344,0.99717865313580478,0.99697974757761221,0.99704095908706325,0.9966218564210505,0.22942676325396333,0.091196531779431739,0.18966135532324885,0.199259471809142,55.991902834008087,63.327628361858189,56.508333333333333,54.85892116182572,6.5001709907125544,6.5941139025964919,6.4593582012643278,6.4477218680994834,1724.6315133832718,1454.2105080672659,1745.3332638888887,1630.9427523630789,496.51820223245761,476.22316491412641,497.50206597222234,509.43174618205603
1,5,366,42.0,72.0,1.0,1.4161696380486644,0.76423167277106574,1.0,0.4485294117647059,0.22423730739586062,30.565255408251161,33.734255586865999,7.6157731058639087,2.5815399455079273,2.0,21.224741159922292,19.712811431588079,71.136199730497623,143.21600000000004,0.69318181818181823,0.40725763996801345,0.097032919183083488,0.12827526314216814,0.035856661324485131,0.058844410633274009,0.025158417366827449,0.017574008563595932,0.026354300755854463,0.026580677703268735,0.020760634420370124,0.011582688600539194,0.0085333675066855425,0.0040275401063566999,0.011900482066038727,0.013820104209512081,0.0056310249116676972,0.020155112726537101,0.016807071695801097,0.0077916058285081805,0.0034874078151633852,0.013364078122276066,0.0025782834447003666,0.017795876759271582,0.010117919605844471,0.0055513248137835421,0.003612448321359782,0.0097528483652642248,0.0028209363406654767,0.00076590645181538449,0.0045134750809118799,1,3.027451082598418,26.541177213191986,0.011764706112444401,0.050980391912162304,3.4470507792943152,0.090196080505847931,0.23921568691730499,0.028293935351387085,0.072516877631672097,0.058823529630899429,0.0039215688593685627,0.0039215688593685627,0.02308559594767242,0.059999488642790984,0.12156862765550613,40.694296688975164,72.462765942162989,0.0,39.560109289617486,69.207650273224047,0,40.0,74.0,0.0,5,5,0.016730769230769233,0.0039703703703703706,0.010190256978031583,0.024131611828404828,175.34230769230771,273.74222222222227,84.874045801526734,147.09795918367348,0.64219393774172606,0.41307662335462175,0.82822466465615674,0.72178813539895825,4.5072793557276505,4.7857112610865427,4.1736023487108724,4.3195617785565101,0.00067657888417513756,0.00039266196477434791,0.0008535949644066864,0.00089125628802775084,7.8376933777383408,8.3400753737704854,7.872699290984535,7.489817740936366,-0.5170327136183348,-0.48142126954383263,-0.5255724305934335,-0.54754252870168907,0.99788197389427957,0.99747076647090782,0.99817251800802553,0.99823435025657448,0.22537412731361534,0.072395451862791463,0.21259713378014586,0.25285522543775824,45.203846153846158,48.62222222222222,44.454198473282446,42.632653061224502,5.9012489681682858,6.1468821678464254,5.9993020602073504,5.7979923861457179,804.75460059171587,659.06172839506189,903.32423809801276,910.35485214493929,245.02422707100607,233.20098765432101,247.049570974885,264.36320283215298
1,6,204,133.0,77.0,1.0,1.1257589784046831,0.74438605255778434,1.0,0.63157894736842102,0.64018735319227915,20.170594640137654,20.615528128088304,6.7082039324993694,2.769180543825787,2.2360679774997898,13.416407864998739,13.468904636797326,46.711714558349911,63.280000000000015,0.87179487179487181,0.60418711202717523,0.06559357671437667,0.17964861111438069,0.084767380798689285,0.013604690403114622,0.011434876080349559,0.0049907051471302435,0.0086500604275162232,0.025688227271436315,0.026140259871028883,0.023464768426377319,0.013563529648468969,0.028026928462901363,0.015545985197138441,0.0058909738793105799,0.0086992412677855905,0.0051264320720715356,0.0084646762219388969,0.0155823591046143,0.0067628967392565423,0.006349428765932,0.00602882688056979,0.00046564461066070189,0.0017156693196105171,0.0030580037492816806,0.0026275563939740128,0.015099493726415688,0.0026867697627111923,0.011210809779506973,0.0012032711592165942,1,3.1764707053080201,23.266667361371219,0.08235294371843338,0.031372547149658203,0.77581363479064047,0.10196078568696976,0.21960784494876862,0.061085975102077313,0.11405229098711382,0.11764705926179886,0.011764706112444401,0.011764706112444401,0.024937104394838604,0.044890773486780569,0.14117647707462311,133.47564470474171,78.179841571300031,0.0,134.11274509803923,78.622549019607845,0,130.0,78.0,0.0,6,6,0.0046444444444444458,0.0045234485793926365,0.0042165626581211002,0.0052596975673898762,134.81999999999999,174.74125874125875,140.08441558441561,189.7179487179487,0.34696340512907636,0.23718875697480396,0.43403201097782168,0.023864135877655571,4.4244010851851616,4.6384679058733997,4.4987267014348546,4.5346332092395665,0.00064659895352416107,0.00048751632348091308,0.00058286938166061833,0.00055216841446924063,7.8654201904670353,7.8835792038809975,7.9761703880834514,7.6608794631361672,-0.456341190980593,-0.46040899937663171,-0.45736517534421978,-0.47996197719036676,0.99520963565768861,0.99551048389884023,0.99557520792221654,0.99603046505286963,0.10440608688242647,0.09230415768396269,0.10893215446625415,0.074985404384746157,64.313333333333333,64.055944055944053,62.993506493506494,65.119658119658112,5.6547965916925786,5.6970004251834343,5.6974309215146963,5.4029472793350948,278.0818222222224,283.40945767519224,354.94151627593237,198.99422894294821,103.22545555555553,114.53767910411284,123.75648296508689,97.178044415224349
1,7,303,57.0,82.0,1.0,1.6152265989182355,0.87307193072616773,1.0,0.42083333333333334,0.37040716611343044,31.76645697844204,31.016124838541646,5.8309518948453007,2.4789071493710884,2.2360679774997898,19.807729648956588,15.489052222220234,-63.214271851958799,101.38800000000005,0.72315035799522676,0.39557538377220208,0.073976001640376196,0.11568016955907531,0.079902430546223716,0.051511526324958555,0.013663036822222778,0.015961460303190171,0.044414011903222014,0.019598244261492776,0.037088710230337898,0.013212761875659274,0.016669705715481545,0.011456709897133106,0.0030674274868143715,0.014061093796903215,0.01641355184173313,0.011087440095593881,0.0099641936442112986,0.011894807195795869,0.0062330226051815372,0.002158941118033953,0.0082262847482300356,0.0066909043369144322,0.0071546480955708642,0.0072858834337391071,0.010350154536470051,0.0022373557813366537,0.005462085773214765,0.0077056724822256555,0.0098363173667817324,1,5.9019609624519944,39.91372658405453,0.066666670143604279,0.058823533356189728,0.70531265226000206,0.20392157137393951,0.28235295414924622,0.071975133688438955,0.1317284705744374,0.13333334028720856,0.011764706112444401,0.011764706112444401,0.049393589278077125,0.073157045045148403,0.18431372940540314,59.071526823568249,79.5938298277039,0.0,59.471947194719469,79.013201320132012,0,60.0,79.0,0.0,7,7,0.0029703631185475257,0.0029608375812704129,0.0026920667240974226,0.0030196830434878444,226.33962264150944,454.15469613259671,242.92920353982296,280.39906103286381,0.66703343606717114,0.33446071435728586,0.63552530893916714,0.56314862651130237,4.8089603143825554,5.239313777459083,4.8346352432427731,4.9588015754603569,0.00038353017914631284,0.00021501475320939644,0.00035089497764901744,0.00029816595222525918,8.4967883790915018,8.4280226826633164,8.6254021924653905,8.4975745263088118,-0.55485969243645583,-0.56516154267457019,-0.53385683455687838,-0.54356318370806611,0.9992663227879699,0.99934584471207766,0.99906419025075655,0.9991199583451289,0.1139485646235881,0.044320161583300606,0.070249104532734544,0.076614973964307484,75.226415094339615,75.270718232044189,76.486725663716811,77.985915492957773,6.4113461032694605,6.2853331467712161,6.5243986261093312,6.4723561464748389,1133.1940192239235,910.61731937364675,1090.1082308716423,1003.3284401243091,339.88341046635765,341.19300387656085,333.259358602867,320.93187528929502
1,8,534,76.0,82.0,1.0,1.1561627526473905,0.62030232516225892,1.0,0.57792207792207795,0.36165533415248702,31.225444853253297,34.713109915419565,10.295630140987001,3.7192967627649218,3.1622776601683795,23.14451964956104,24.492077821611304,-78.404127156910221,136.21600000000001,0.78127286027798093,0.55557299686871298,0.089216641886584749,0.17191701097001758,0.056125773543025677,0.018429128808173018,0.021640135114441024,0.0062419123878539396,0.028358543446670773,0.0034444297487457834,0.013675762324287062,0.027454074467789916,0.016886776553764034,0.0030843550960338211,0.028381791983674146,0.015571372107080275,0.015056345958409396,0.0030864249720278882,0.02178642731252637,0.0064196598360794187,0.0097536116861885198,0.0033730640079280738,0.0045899671963590821,0.011347176436298392,0.0017554067662461689,0.0070999862649523656,0.009609023033851468,0.0074828344346877639,0.0043040939916829755,0.0005906293328724778,0.0006435496948026439,1,5.2078432897105813,58.772550480440259,0.050980392843484879,0.062745101749897003,2.5353350263987573,0.20000000298023224,0.23921568691730499,0.052604477673844255,0.11006095595588064,0.10588235408067703,0.0039215688593685627,0.0039215688593685627,0.050186578467448097,0.06853448131444187,0.17647059261798859,74.003803315993494,81.633215448614692,0.0,75.365168539325836,79.49438202247191,0,71.0,86.0,0.0,8,8,0.0048212482114300152,0.0022027323326024618,0.0023681389308172745,0.0025209739167140572,50.075688073394495,172.23636363636365,162.58429561200924,229.18159806295398,0.91422778542727956,0.68585012886154129,0.71927381420264758,0.60839388571040598,3.8597058963820565,4.6969939084417476,4.6540358051213833,4.8285150463903053,0.0011087721623056809,0.00046793227314059267,0.00048974777453333093,0.00039298135678080443,8.7209341448959332,9.050314083594877,9.0285552667469702,9.1019316422690952,-0.47290382810977005,-0.41904164266597893,-0.42686123162210099,-0.4116097797851177,0.9977421264957268,0.99586698799540296,0.99626856420300225,0.99552025448421566,0.26192253754236944,0.095366890338501681,0.11677879695539459,0.075167526026027859,60.768348623853214,64.148051948051943,62.491916859122398,62.823244552058128,6.4588100146947882,6.5494769450252726,6.5673362307215797,6.436468699524637,1117.5678972729565,924.28717152976969,995.72799470902282,941.28837010242114,291.91089633658771,274.13088379153305,289.57807258025832,292.61749204134367
1,9,969,18.0,89.0,1.0,1.1074662135346682,0.66211210399816256,1.0,0.63749999999999996,0.60410997148210244,41.834092396948989,45.276925690687087,13.601470508735444,5.7835828327116872,5.3851648071345037,33.403802645513295,31.350669854586197,-28.040273128756414,141.97400000000005,0.84925503943908853,0.60183859456018163,0.12379679232678006,0.14977417464362242,0.031061815247892473,0.044499473475394992,0.012362516847536892,0.031782969340632176,0.034453961853168222,0.011791236332572686,0.026691294882582695,0.01480921324678193,0.0025745884489776286,0.019376527238094975,0.016736172870723119,0.0070873939929456137,0.01285204239790773,0.010244020089778545,0.014071846797958131,0.0043719729480279686,0.0035172507486850462,0.0077107500341646847,0.0016709191172554283,0.0020089405577647023,0.011062138922789446,0.0037215460139259906,0.0048160571343308298,0.0044873176311751852,0.006937036748942583,0.003871507430785836,0.0023587348704998293,1,3.8549020672217011,98.133336092345417,0.023529412224888802,0.043137255124747753,5.7741909660284536,0.12156862765550613,0.42352941632270813,0.038938404719411124,0.10127279266495914,0.054901961237192154,0.0078431377187371254,0.0078431377187371254,0.02818668714361482,0.10222165581124361,0.15686275064945221,23.334039311787254,84.865728905608975,0.0,17.809081527347782,86.543859649122808,0,27.0,83.0,0.0,9,9,0.0051351460603365718,0.0049935577439802134,0.0083068294517971361,0.0043209611802764438,205.41794569067295,326.39440203562339,157.41871345029242,341.45544554455444,0.85850663601334432,0.78547361903966084,0.89170570516667091,0.76675214806231407,4.7238736740386518,4.9033642844895713,4.4473475588646743,5.0925307663752264,0.0004176761689731281,0.00039935017872932906,0.00057135244780221926,0.00030797852525404288,9.043176717569871,9.0156419254557747,8.9162887675638025,9.2973962107343695,-0.45772126946749148,-0.46706549542187392,-0.4764404414441239,-0.43714596733979488,0.9976648784417812,0.99794199605633338,0.99810534763622871,0.99724108265197853,0.1862619836773341,0.17446343405327858,0.25922801118192329,0.15534069511011894,56.050767414403779,57.300254452926211,55.577777777777769,58.113861386138609,6.7333951683989959,6.6891929249520663,6.7412886648957775,6.856765073886633,2698.1520861879344,2716.5358014619719,2749.8205588044202,2586.3781246936583,725.89250796965212,760.73255087439884,726.80981806367754,731.95839255955298
1,10,420,45.0,94.0,1.0,1.0699691791257651,0.53236415142807425,1.0,0.51724137931034486,0.61376186572799318,25.857105945587382,28.460498941515414,9.4339811320566032,3.644852917748524,3.1622776601683795,21.346813832691776,21.888439723878651,61.053439922216732,92.732000000000042,0.8502024291497976,0.64672800175097533,0.087134741890855086,0.17665200620930482,0.035691175178004013,0.014334623096073678,0.0032304696055347839,0.023777453116480475,0.024079341777330811,0.03586795498326454,0.027176953549888506,0.014960841839362148,0.013766469142519276,0.011105427957765744,0.0030168666458111979,0.011631501380827126,0.0021646501338392181,0.0071462681767090926,0.010894846900639639,0.0053804543511675159,0.015217929555085174,0.0020919425271115261,0.011215589010080624,0.0078277359795729945,0.015822197668250097,0.0038847288116722989,0.0041263448768335143,0.0099734445534385655,0.0036950995946894859,0.0096276491508421203,0.0076052339872739426,1,5.1137256417423487,52.741177877411246,0.074509806931018829,0.043137259781360626,0.8149904011094663,0.16078431904315948,0.27843138575553894,0.069104400564085788,0.12557423304145535,0.13333334028720856,0.019607843831181526,0.019607843831181526,0.039917945982449993,0.057635945662655431,0.17254902422428131,44.270131615257824,93.868168643079485,0.0,45.035714285714285,94.147619047619045,0,42.0,89.0,0.0,10,10,0.0023880597014925373,0.0023144531250000001,0.0023692606702728739,0.0024138910300620718,135.66865671641796,313.65312499999999,143.65689149560114,142.30573248407643,0.63391794703029536,0.13710667279271513,0.63755505988909744,0.65199354504812224,4.5293501715661879,5.0381272480005173,4.5692525568982205,4.5359345267843336,0.00049755197203589605,0.00029348114390432114,0.00052052858916369128,0.0005663700453127341,8.8928117540329517,8.8866649307775365,8.8912262707032994,8.8438281532813239,-0.38780006067635325,-0.38456182460491184,-0.40032498994996329,-0.41155263691063293,0.99304178492948203,0.99270457927640332,0.99414432520489582,0.99487331264773882,0.078232117106211904,0.071913225920385695,0.1044342803161947,0.1122602950246194,70.785074626865679,72.434375000000003,69.516129032258064,69.140127388535021,6.2305363207211011,6.088781162278865,6.3745302869704847,6.28148635795948,605.52395633771357,413.32694335937595,649.05325891590292,675.52813501562014,185.29815326353287,181.74501708984303,198.17753760287655,204.45846687492372
